                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.66004,                0.63513,                 1.1992,                0.92662,                0.79448,                  0.891,                0.62531,                0.92873,                 0.7935,                 1.4237,                0.00307,                0.00307,                0.00307
                     37,                0.64879,                0.61983,                  1.195,                0.87132,                0.84495,                0.88857,                0.63984,                0.92349,                0.79684,                 1.4396,               0.002872,               0.002872,               0.002872
                     38,                0.63998,                0.60068,                 1.1849,                0.81997,                 0.8244,                0.87432,                0.61558,                0.92412,                0.79428,                 1.4117,               0.002674,               0.002674,               0.002674
                     39,                0.63606,                0.60194,                 1.1897,                0.88228,                0.75466,                0.86985,                0.59875,                0.93142,                0.80861,                 1.4298,               0.002476,               0.002476,               0.002476
                     40,                0.63785,                0.60759,                 1.1825,                0.86481,                0.81044,                 0.8725,                0.61741,                0.90607,                0.81072,                 1.4193,               0.002278,               0.002278,               0.002278
                     41,                0.62001,                0.58383,                 1.1768,                0.80407,                0.79953,                0.86183,                0.61524,                0.90086,                0.81415,                 1.3998,                0.00208,                0.00208,                0.00208
                     42,                0.63907,                0.60452,                 1.1877,                0.90035,                0.75699,                0.86982,                0.62769,                0.88937,                 0.8002,                 1.4049,               0.001882,               0.001882,               0.001882
                     43,                0.62277,                0.58923,                 1.1771,                0.86762,                0.80701,                0.88438,                0.63033,                 0.8908,                0.78169,                 1.4039,               0.001684,               0.001684,               0.001684
                     44,                0.62712,                0.59029,                 1.1805,                0.90242,                0.78189,                0.88369,                0.62859,                 0.8849,                0.77488,                 1.3899,               0.001486,               0.001486,               0.001486
                     45,                0.61387,                0.57511,                 1.1709,                0.89433,                0.79131,                0.88334,                0.63534,                0.88808,                0.79465,                  1.391,               0.001288,               0.001288,               0.001288
                     46,                 0.6252,                0.57829,                  1.177,                0.87981,                0.82515,                0.88742,                0.63281,                0.88293,                0.77014,                 1.4039,                0.00109,                0.00109,                0.00109
                     47,                0.62139,                0.57716,                 1.1752,                0.88809,                0.79586,                0.88933,                0.63099,                0.88029,                0.77252,                 1.3916,               0.000892,               0.000892,               0.000892
                     48,                0.61468,                0.56868,                  1.171,                0.87453,                0.80897,                0.88935,                0.64104,                0.88039,                0.78918,                 1.3901,               0.000694,               0.000694,               0.000694
                     49,                0.62131,                 0.5888,                 1.1761,                0.86865,                0.82164,                0.88755,                0.64107,                0.87875,                0.78664,                 1.3887,               0.000496,               0.000496,               0.000496
